No,Venue,Slots,Available,Occupancy %,Revenue,Range Harga
43,Como Padel Court,56,44,21.4%,Rp2.299.000,Rp99.000 - Rp200.000
44,World Padel,42,33,21.4%,Rp1.675.000,Rp50.000 - Rp225.000
45,Padelin,48,33,31.2%,Rp1.750.000,Rp70.000 - Rp200.000
46,Courtyard Padel Club,91,79,13.2%,Rp3.000.000,Rp165.000 - Rp650.000
47,Padel On Mars,26,26,0.0%,Rp0,Rp115.000 - Rp135.000
48,Padel Meruya Airdome,90,83,7.8%,Rp2.443.000,Rp349.000 - Rp399.000
49,Hachi Padel Puri Indah Jakarta,60,29,51.7%,Rp8.928.000,Rp288.000
50,JC Padel Kedoya,26,20,23.1%,Rp1.520.000,Rp140.000 - Rp380.000
51,Tennis Padel Matic Mal Ciputra,60,56,6.7%,Rp528.000,Rp96.000 - Rp140.000
52,Paddle Padel,32,32,0.0%,Rp0,Rp150.000 - Rp200.000
53,Roots Padel House,15,9,40.0%,Rp1.098.000,Rp149.000 - Rp200.000
54,Coco Padel Court Jakarta,42,33,21.4%,Rp1.400.000,Rp100.000 - Rp200.000
55,Zplay Padel,48,30,37.5%,Rp2.080.000,Rp65.000 - Rp175.000
56,PPC - Puri Padel Club,28,19,32.1%,Rp2.425.000,Rp225.000 - Rp275.000
57,Donkey Padel,32,31,3.1%,Rp149.000,Rp99.000 - Rp149.000
58,Sunrise Padel - Sunrise Garden,56,46,17.9%,Rp1.594.000,Rp100.000 - Rp199.000
59,Ace Padel Club (APC) - Jalan Panjang Kedoya,78,43,44.9%,Rp8.180.000,Rp100.000 - Rp300.000
60,Padel Quarter,60,47,21.7%,Rp2.280.000,Rp80.000 - Rp380.000
61,ZEN PADEL,28,28,0.0%,Rp0,Rp59.000
62,Go 2 Padel,30,21,30.0%,Rp1.080.000,Rp60.000 - Rp150.000
63,YOLO Padel and Lifestyle Slipi,28,24,14.3%,Rp1.500.000,Rp300.000 - Rp375.000
64,"KALMA Social Club - Jl. Panjang, Kedoya",80,72,10.0%,Rp1.855.000,Rp170.000 - Rp399.000
65,Padel V,30,25,16.7%,Rp1.300.000,Rp160.000 - Rp260.000
66,Country Club | Padel & Lounge,30,21,30.0%,Rp2.050.000,Rp200.000 - Rp250.000
67,Social Field,160,146,8.8%,Rp3.586.000,Rp99.500 - Rp299.000
68,PIPC - Play In Padel Collective - Srengseng,96,82,14.6%,Rp2.700.000,Rp100.000 - Rp250.000
69,KOTA COURTS by PADELGRID Mangga Besar,48,30,37.5%,Rp3.645.000,Rp150.000 - Rp285.000
70,United Padel Club,60,56,6.7%,Rp720.000,Rp120.000 - Rp180.000
71,Powerhouse Padel AZURE Taman Surya,64,52,18.8%,Rp1.660.000,Rp75.000 - Rp170.000
72,OLA PADEL CLUB,84,66,21.4%,Rp3.555.000,Rp100.000 - Rp260.000
73,MMT Padel,98,81,17.3%,Rp5.250.000,Rp230.000 - Rp350.000
74,Clubhouse Meruya,112,88,21.4%,Rp5.730.000,Rp195.000 - Rp245.000
75,Angke Padel,96,73,24.0%,Rp2.950.000,Rp75.000 - Rp150.000
76,DAAN MOGOT PADEL COURT,84,77,8.3%,Rp2.850.000,Rp125.000 - Rp500.000
77,Kaia Padel Reserve,70,53,24.3%,Rp3.250.000,Rp125.000 - Rp200.000
78,Tangkas Padel,48,45,6.2%,Rp500.000,Rp150.000 - Rp300.000
79,Cosmo Padel,32,27,15.6%,Rp1.325.000,Rp128.000 - Rp275.000
80,MAISON de PADEL,14,6,57.1%,Rp2.900.000,Rp275.000 - Rp450.000
81,Di Atas Social Club - Lippo Mall Puri,117,114,2.6%,Rp645.000,Rp195.000 - Rp280.000
82,Commune Courts,84,73,13.1%,Rp2.500.000,Rp100.000 - Rp300.000
83,EL WILLY PADEL,32,19,40.6%,Rp4.030.000,Rp250.000 - Rp380.000
84,Dash Padel House,75,62,17.3%,Rp3.037.000,Rp100.000 - Rp249.000
85,Citra Padel Club,108,75,30.6%,Rp6.250.000,Rp70.000 - Rp225.000
86,Malta Padel Club,80,65,18.8%,Rp2.800.000,Rp150.000 - Rp200.000
87,Gru Padel House,14,13,7.1%,Rp228.000,Rp168.000 - Rp228.000
88,De Luz Padel,98,81,17.3%,Rp2.760.000,Rp80.000 - Rp180.000
89,Nice Padel,26,21,19.2%,Rp495.000,Rp99.000
90,Golcindo Padel Club,32,24,25.0%,Rp952.000,Rp59.000 - Rp149.000
91,Mono House,30,22,26.7%,Rp1.500.000,Rp125.000 - Rp225.000
92,Seven Stars Arena,56,46,17.9%,Rp2.105.000,Rp125.000 - Rp220.000
93,Deuce Arena,105,57,45.7%,Rp3.643.000,Rp39.000 - Rp250.000
94,Alley Social Padel Mahjong By Homeground,60,52,13.3%,Rp2.150.000,Rp75.000 - Rp300.000
95,SERA COMMUNITY CLUB,24,20,16.7%,Rp1.600.000,Rp165.000 - Rp400.000
